Function,Method,ISE,RMSE,Boundary RMSE,Time
Smooth periodic,B-spline,0.0030887402279806157,0.05557643590570212,0.05621322084087914,0.0008278000004793284
Smooth periodic,Smoothing spline,0.0051281452736139195,0.07161106949078418,0.09597667367257176,6.67000003886642e-05
Smooth periodic,Linear,0.20231317305756288,0.4497923666065965,0.6637000031571583,0.00039319999996223487
Smooth periodic,Polynomial,0.006661649918861485,0.0816189311303541,0.11217642569098746,0.0006594000005861744
Smooth periodic,Nadaraya-Watson,0.00645885727716891,0.08036701610218529,0.14801630743055894,0.00021379999998316634
Smooth periodic,Local linear,0.003998849822859745,0.06323645960092758,0.09182998123787776,0.0036118999996688217
Smooth periodic,Local quadratic,0.0018386964357508038,0.04288002373775933,0.07951218096520694,0.003918200000043726
Smooth periodic,B-spline,0.001909878853242532,0.04370216073882997,0.08299146596263884,0.0007961999999679392
Smooth periodic,Smoothing spline,0.006661649918861581,0.08161893113035469,0.11217642569098873,6.69999990350334e-05
Smooth periodic,Linear,0.20099375406986897,0.448323269605615,0.6296188830104138,0.0003634000004240079
Smooth periodic,Polynomial,0.0051205845176614025,0.07155825960475425,0.0834642920942642,0.0006849000001238892
Smooth periodic,Nadaraya-Watson,0.003177564064132338,0.0563698861461715,0.10024455510895151,0.00020640000002458692
Smooth periodic,Local linear,0.0019417195737838418,0.044064947223204996,0.07371370946821638,0.0036385000003065215
Smooth periodic,Local quadratic,0.0027125688673258373,0.05208232778328785,0.08817327315455578,0.0038908000005903887
Smooth periodic,B-spline,0.004670037365277355,0.06833767164073822,0.10859375122628555,0.0008245999997598119
Smooth periodic,Smoothing spline,0.005120584517661541,0.07155825960475522,0.08346429209426448,6.53000006423099e-05
Smooth periodic,Linear,0.20633013900473296,0.4542357746861567,0.5798573493805081,0.000325400000292575
Smooth periodic,Polynomial,0.005813787332927443,0.07624819560440393,0.09468650161783262,0.0006472999994002748
Smooth periodic,Nadaraya-Watson,0.0038742542358151544,0.062243507579627565,0.07522211932433628,0.00022669999998470303
Smooth periodic,Local linear,0.0033814278804388588,0.05815004626342836,0.0565098846449882,0.003768399999898975
Smooth periodic,Local quadratic,0.002032060337580457,0.045078379935180206,0.055699899395808314,0.0038765999997849576
Smooth periodic,B-spline,0.002103164165160904,0.045860267826964375,0.04425414885324018,0.0008295999996335013
Smooth periodic,Smoothing spline,0.005813787332927411,0.07624819560440373,0.09468650161783149,7.860000005166512e-05
Smooth periodic,Linear,0.2006895358526946,0.4479838566875983,0.5737957041200491,0.0003488000002107583
Smooth periodic,Polynomial,0.006299493873808514,0.07936935097257955,0.12303654344198256,0.0008109999998850981
Smooth periodic,Nadaraya-Watson,0.0018676565799329024,0.0432163924909623,0.06606181053871314,0.0002519999998185085
Smooth periodic,Local linear,0.0021403265089910417,0.046263662943945995,0.0753729952984665,0.004220300001179567
Smooth periodic,Local quadratic,0.0019080959322418677,0.04368175743078417,0.07731588074391996,0.004555499999696622
Smooth periodic,B-spline,0.0014094657456194695,0.03754285212419895,0.07138771306343407,0.001001800001176889
Smooth periodic,Smoothing spline,0.006299493873808649,0.0793693509725804,0.12303654344198398,9.42999995459104e-05
Smooth periodic,Linear,0.2068491860494605,0.4548067568203671,0.7168439645405433,0.0004243000003043562
Smooth periodic,Polynomial,0.0057908214721144125,0.07609744721154851,0.08913438387965485,0.0008293000009871321
Smooth periodic,Nadaraya-Watson,0.0033336732423678295,0.05773797054251067,0.10874741550462944,0.00022569999964616727
Smooth periodic,Local linear,0.0016342193498768765,0.04042547896904719,0.0524413966216268,0.004264600000169594
Smooth periodic,Local quadratic,0.0013474150214691832,0.03670715218413413,0.05739234055738749,0.0042310999997425824
Smooth periodic,B-spline,0.0016639426953094776,0.04079145370429298,0.06382300311796475,0.0008340000003954628
Smooth periodic,Smoothing spline,0.005790821472114583,0.07609744721154964,0.08913438387965565,6.800000119255856e-05
Smooth periodic,Linear,0.20199326891124308,0.44943661278454283,0.6581638284318262,0.0004357999987405492
